,account,age,following,numVotes
173,i27,6 days 22:46:13.129902000,1,1
174,alindaniel13,6 days 21:52:40.129902000,3,4
175,luckywilly,9 days 15:54:37.129902000,1,1
176,shak85,8 days 07:59:52.129902000,1,1
177,trow,19 days 23:30:37.129902000,4,2
178,jwdavis,7 days 23:17:16.129902000,1,1
179,lukielukas,6 days 12:48:31.129902000,1,1
180,imickw,105 days 17:48:28.129902000,7,1
181,nikhil225585,59 days 01:37:13.129902000,3,1
182,webstrategy,13 days 18:17:58.129902000,1,1
183,messianic,7 days 11:49:34.129902000,1,4
184,chaossro,126 days 18:03:40.129902000,10,69
185,ccccc,117 days 21:04:55.129902000,3,4
186,manfredmicallef,13 days 05:49:49.129902000,1,2
187,wino,95 days 09:48:19.129902000,4,3
188,joachimsundgren,11 days 12:20:22.129902000,1,8
189,telowiii,45 days 02:43:28.129902000,0,1
190,freeza,7 days 14:10:16.129902000,2,2
191,eleare,9 days 14:11:04.129902000,2,1
192,shenanigains,18 days 11:51:31.129902000,1,1
193,darkknight335,17 days 15:31:31.129902000,3,2
194,toptopboy,24 days 14:34:16.129902000,3,2
195,segoiste,62 days 20:11:55.129902000,2,3
196,koevoet77,62 days 04:09:10.129902000,4,9
197,rage-storm,144 days 19:29:07.129902000,3,14
198,im-super-high,45 days 05:39:55.129902000,4,1
199,wooix.pak,116 days 09:58:52.129902000,5,1
200,ronbperry,9 days 18:16:07.129902000,1,2
201,sweetjoesweet,43 days 01:53:58.129902000,7,1
202,ngbaltic,26 days 05:07:46.129902000,1,3
203,joser,146 days 16:03:43.129902000,2,1
204,eduardoanaversa,9 days 18:55:04.129902000,2,3
205,orangebread,6 days 12:29:10.129902000,1,2
206,charliek,30 days 02:09:40.129902000,9,18
207,biftwaan,13 days 12:07:16.129902000,1,5
208,ggsteem,13 days 18:29:22.129902000,1,1
209,pimo,6 days 02:43:22.129902000,1,1
210,gareth73,178 days 11:14:31.129902000,1,1
211,andyen,8 days 03:14:10.129902000,1,3
212,cekraus95,7 days 11:52:19.129902000,2,3
213,fingerscrossed,10 days 06:07:55.129902000,1,1
214,craptacular,106 days 05:14:13.129902000,4,2
215,highonhi,7 days 13:59:49.129902000,1,1
216,ricoemme84,7 days 07:35:49.129902000,2,11
217,nienielu,5 days 19:36:37.129902000,0,2
218,moshe-kochavi,22 days 10:54:37.129902000,2,1
219,arisenow,93 days 20:22:40.129902000,7,1
220,max9,23 days 07:07:04.129902000,2,9
221,iqzero,122 days 20:09:16.129902000,1,4
222,ysg,11 days 23:09:19.129902000,1,3
223,vijon,145 days 01:07:37.129902000,2,36
224,giovanni90,10 days 13:18:04.129902000,1,1
225,agologist,181 days 18:25:40.129902000,8,27
226,lalitjoshi,27 days 20:04:01.129902000,1,1
227,elevationdazza,7 days 07:55:34.129902000,1,1
228,spankygti,132 days 07:27:52.129902000,3,24
229,cryptotechfan,27 days 10:43:43.129902000,4,3
230,talos3065,75 days 05:38:04.129902000,4,17
231,centillionaire,128 days 06:21:37.129902000,7,1
232,yonnylicious,23 days 19:16:16.129902000,3,3
233,kashit,7 days 06:29:37.129902000,1,2
234,block2chain,22 days 14:15:31.129902000,5,1
235,mfarano,17 days 18:31:34.129902000,1,2
236,abaiz,7 days 09:09:28.129902000,5,1
237,manoli17,32 days 12:46:22.129902000,5,14
238,mlachanth,205 days 17:33:55.129902000,1,1
239,don-pacha,7 days 06:27:46.129902000,1,14
240,itspams,38 days 08:44:31.129902000,4,1
241,skrrr,9 days 06:13:16.129902000,1,6
242,spsoofbaf,11 days 09:32:07.129902000,1,2
243,redbear781,16 days 13:51:40.129902000,1,28
